Dataset 0,
X,Y
41.30168363265806,946.1582113267508
43.25848014772146,936.8976009425448
45.21476197593435,926.6706659965088
47.170657789009354,915.7189876291002
49.1262962586591,904.2841469807763
51.0818489471671,892.6882522388141
53.03688694882459,880.1260329350218
54.992139403336466,867.9664488653254
56.94687717099782,854.8405402337988
58.90152915751742,841.5535775086338
60.85588091004091,827.7029254557345
62.81010399085176,813.6106922623778
64.76406972823736,799.0352967881059
66.71752077877244,783.4935767520038
68.6705000330279,767.0660592008908
70.62365084956686,750.9606498370545
72.57654432268056,734.372078192303
74.52930912408164,717.541925407094
76.48194525377009,700.4701914814275
78.43428114946241,682.8347682280267
80.38610235830421,664.2330204127958
82.33792356714602,645.6312725975648
84.28987344770047,627.2711059227914
86.24140300066031,608.1217741891901
88.19274383510833,588.6181234495842
90.05491946176278,569.1225254146603
91.9171036665314,549.6430327891003
93.77904339504603,529.704535996671
95.64077724882046,509.3795093795095
97.50283707093355,489.66648831817383
99.27641364533,471.241900005945
101.13870507652582,451.9637249974329
103.00096219526493,432.6211283514655
104.77444441040547,414.0193805362345
106.63671868537293,394.70899470899474
108.58802520736423,375.14092233193367
110.53950329163902,355.8949581421492
112.49128160990996,337.2126832800991
114.44336016217703,319.0940977457832
116.3956102767276,301.297620398744
118.34871411787941,285.1040147455343
119.68058837745697,274.4619820462518
