Default Dataset,
X,Y
-90.82152217826075,12.254022573756565
-70.76843458372977,13.381183998686787
-50.71534698919879,14.494682860890585
-30.662259394667842,15.574025316278316
-10.609171800136835,16.59188623939712
9.443915794394115,17.596084599789506
29.497003388925123,18.559295272002608
49.55009098345607,19.488349537399642
69.60317857798708,20.396909958707027
89.65626617251803,21.291807817287996
109.70935376704904,22.132055424963248
129.76244136158004,22.958640469912083
149.815528956111,23.7783942334977
169.868616550642,24.55032902754082
189.92170414517295,25.308601258857514
209.97479173970396,26.060042208810998
230.02787933423497,26.777326751948415
250.08096692876586,27.508273857812256
270.13405452329687,28.232389682312878
290.1871421178279,28.91551781863423
310.2402297123589,29.591814673592367
330.2933173068898,30.247617684460863
350.3464049014208,30.91025197669257
370.3994924959518,31.552392424834636
390.4525800904828,32.18087031025028
410.5056676850137,32.78885435157627
430.5587552795447,33.41733223699191
450.6118428740757,34.011653715591486
470.6649304686067,34.612806475554265
490.7180180631376,35.186634110064205
510.7711056576686,35.76046174457414
530.8241932521996,36.313795534994426
550.8772808467306,36.88079188814114
570.9303684412616,37.44095695992465
590.9834560357925,37.980628187618514
611.0365436303235,38.52713069667559
631.0896312248545,39.05997064300624
651.1427188193855,39.57231674524725
671.1958064139164,40.08466284748827
691.2488940084475,40.59700894972927
711.3019816029785,41.10252377060707
731.3550691975095,41.621701154211294
751.4081567920404,42.11355341236267
771.4612443865714,42.60540567051403
791.5143319811024,43.09725792866541
811.5674195756334,43.56861634272714
831.6205071701644,44.046806038152084
851.6735947646954,44.504501889487386
871.7266823592262,44.96219774082269
891.7797699537572,45.41989359215799
911.8328575482882,45.898083287582935
931.8859451428192,46.34211657619181
951.9390327373502,46.77931858343747
971.9921203318812,47.230183153409556
992.0452079264122,47.674216442018434
1012.0982955209432,48.1114184492641
1032.1513831154743,48.54178917514655
1052.204470710005,48.97899118239221
1072.257558304536,49.40936190827466
1092.310645899067,49.82607007143068
1112.363733493598,50.23594695322349
1132.416821088129,50.714136648648434
1153.8878037651016,51.01243593484209
1172.522996277191,51.51339656814441
1192.576083871722,51.92327344993722
1212.629171466253,52.333150331730025
1232.682259060784,52.722533369433194
1252.735346655315,53.12557896986279
1272.788434249846,53.508130726202744
1291.9300178628073,53.88043556049788
